Quantidade,Sensor
0, Sensor 1: 6.89
1, Sensor 2: 4.32
2, Sensor 1: 6.89
3, Sensor 2: 4.19
4, Sensor 1: 6.89
5, Sensor 2: 4.19
6, Sensor 1: 7.02
7, Sensor 2: 4.19
8, Sensor 1: 6.89
9, Sensor 2: 4.19
10, Sensor 1: 7.02
11, Sensor 2: 4.19
12, Sensor 1: 7.02
13, Sensor 2: 4.19
14, Sensor 1: 7.02
15, Sensor 2: 4.19
16, Sensor 1: 7.02
17, Sensor 2: 4.05
18, Sensor 1: 7.02
19, Sensor 2: 4.19
20, Sensor 1: 7.16
21, Sensor 2: 4.19
22, Sensor 1: 7.16
23, Sensor 2: 4.19
24, Sensor 1: 7.16
25, Sensor 2: 4.19
26, Sensor 1: 7.16
27, Sensor 2: 4.32
28, Sensor 1: 7.29
29, Sensor 2: 4.19
30, Sensor 1: 7.29
31, Sensor 2: 4.19
32, Sensor 1: 7.16
33, Sensor 2: 4.19
34, Sensor 1: 7.16
35, Sensor 2: 4.19
36, Sensor 1: 7.29
37, Sensor 2: 4.32
38, Sensor 1: 7.29
39, Sensor 2: 4.32
40, Sensor 1: 7.16
41, Sensor 2: 4.32
42, Sensor 1: 7.29
43, Sensor 2: 4.19
44, Sensor 1: 7.16
45, Sensor 2: 4.32
46, Sensor 1: 7.16
47, Sensor 2: 4.19
48, Sensor 1: 7.29
49, Sensor 2: 4.32
50, Sensor 1: 7.16
51, Sensor 2: 4.32
52, Sensor 1: 7.16
53, Sensor 2: 4.32
54, Sensor 1: 7.16
55, Sensor 2: 4.19
56, Sensor 1: 7.29
57, Sensor 2: 4.32
58, Sensor 1: 7.16
59, Sensor 2: 4.32
60, Sensor 1: 7.16
61, Sensor 2: 4.19
62, Sensor 1: 7.02
63, Sensor 2: 4.19
64, Sensor 1: 7.16
65, Sensor 2: 4.32
66, Sensor 1: 7.02
67, Sensor 2: 4.32
68, Sensor 1: 7.16
69, Sensor 2: 4.32
70, Sensor 1: 7.02
71, Sensor 2: 4.32
72, Sensor 1: 7.29
73, Sensor 2: 4.46
74, Sensor 1: 7.29
75, Sensor 2: 4.32
76, Sensor 1: 7.16
77, Sensor 2: 4.46
78, Sensor 1: 7.16
79, Sensor 2: 4.32
80, Sensor 1: 7.16
81, Sensor 2: 4.32
82, Sensor 1: 7.02
83, Sensor 2: 4.32
84, Sensor 1: 7.16
85, Sensor 2: 4.46
86, Sensor 1: 7.29
87, Sensor 2: 4.46
88, Sensor 1: 7.16
89, Sensor 2: 4.46
90, Sensor 1: 7.16
91, Sensor 2: 4.32
92, Sensor 1: 7.16
93, Sensor 2: 4.46
94, Sensor 1: 7.16
95, Sensor 2: 4.32
96, Sensor 1: 7.02
97, Sensor 2: 4.46
98, Sensor 1: 7.16
99, Sensor 2: 4.32
100, Sensor 1: 7.02
101, Sensor 2: 4.46
102, Sensor 1: 7.02
103, Sensor 2: 4.46
104, Sensor 1: 7.02
105, Sensor 2: 4.46
106, Sensor 1: 6.89
107, Sensor 2: 4.46
108, Sensor 1: 7.02
109, Sensor 2: 4.46
110, Sensor 1: 6.89
111, Sensor 2: 4.59
112, Sensor 1: 6.89
113, Sensor 2: 4.59
114, Sensor 1: 6.89
115, Sensor 2: 4.59
116, Sensor 1: 6.75
117, Sensor 2: 4.59
118, Sensor 1: 6.89
119, Sensor 2: 4.59
120, Sensor 1: 6.75
121, Sensor 2: 4.73
122, Sensor 1: 6.89
123, Sensor 2: 4.59
124, Sensor 1: 6.89
125, Sensor 2: 4.59
126, Sensor 1: 6.89
127, Sensor 2: 4.73
128, Sensor 1: 6.89
129, Sensor 2: 4.73
130, Sensor 1: 6.75
131, Sensor 2: 4.59
132, Sensor 1: 6.75
133, Sensor 2: 4.86
134, Sensor 1: 6.89
135, Sensor 2: 4.59
136, Sensor 1: 6.89
137, Sensor 2: 4.73
138, Sensor 1: 6.89
139, Sensor 2: 4.86
140, Sensor 1: 7.02
141, Sensor 2: 4.86
142, Sensor 1: 7.16
143, Sensor 2: 4.86
144, Sensor 1: 7.02
145, Sensor 2: 4.86
146, Sensor 1: 7.16
147, Sensor 2: 4.86
148, Sensor 1: 7.16
149, Sensor 2: 4.86
150, Sensor 1: 7.02
151, Sensor 2: 4.73
152, Sensor 1: 7.16
153, Sensor 2: 4.73
154, Sensor 1: 7.16
155, Sensor 2: 4.86
156, Sensor 1: 7.02
157, Sensor 2: 4.73
158, Sensor 1: 7.02
159, Sensor 2: 4.59
160, Sensor 1: 7.02
161, Sensor 2: 4.73
162, Sensor 1: 7.02
163, Sensor 2: 4.59
164, Sensor 1: 7.02
165, Sensor 2: 4.73
166, Sensor 1: 7.02
167, Sensor 2: 4.73
168, Sensor 1: 7.16
169, Sensor 2: 4.73
170, Sensor 1: 7.16
171, Sensor 2: 4.59
172, Sensor 1: 7.16
173, Sensor 2: 4.73
174, Sensor 1: 7.02
175, Sensor 2: 4.59
176, Sensor 1: 7.02
177, Sensor 2: 4.59
178, Sensor 1: 7.02
179, Sensor 2: 4.59
180, Sensor 1: 6.89
181, Sensor 2: 4.59
182, Sensor 1: 6.75
183, Sensor 2: 4.59
184, Sensor 1: 6.89
185, Sensor 2: 4.46
