Quantidade,Sensor
1, Sensor 2: 7.29
2, Sensor 1: 7.43
3, Sensor 2: 7.16
4, Sensor 1: 7.29
5, Sensor 2: 7.29
6, Sensor 1: 7.43
7, Sensor 2: 7.29
8, Sensor 1: 7.29
9, Sensor 2: 7.29
10, Sensor 1: 7.29
11, Sensor 2: 7.16
12, Sensor 1: 7.29
13, Sensor 2: 7.29
14, Sensor 1: 7.29
15, Sensor 2: 7.16
16, Sensor 1: 7.29
17, Sensor 2: 7.16
18, Sensor 1: 7.29
19, Sensor 2: 7.16
20, Sensor 1: 7.16
21, Sensor 2: 7.16
22, Sensor 1: 7.16
23, Sensor 2: 7.02
24, Sensor 1: 7.16
25, Sensor 2: 7.02
26, Sensor 1: 7.02
27, Sensor 2: 7.02
28, Sensor 1: 7.16
29, Sensor 2: 7.02
30, Sensor 1: 7.16
31, Sensor 2: 7.02
32, Sensor 1: 7.16
33, Sensor 2: 7.16
34, Sensor 1: 7.16
35, Sensor 2: 7.02
36, Sensor 1: 7.16
37, Sensor 2: 7.02
38, Sensor 1: 7.02
39, Sensor 2: 7.02
40, Sensor 1: 7.16
41, Sensor 2: 7.02
42, Sensor 1: 7.02
43, Sensor 2: 7.02
44, Sensor 1: 7.16
45, Sensor 2: 6.89
46, Sensor 1: 7.16
47, Sensor 2: 7.02
48, Sensor 1: 7.16
49, Sensor 2: 7.02
50, Sensor 1: 7.16
51, Sensor 2: 7.02
52, Sensor 1: 7.16
53, Sensor 2: 7.16
54, Sensor 1: 7.16
55, Sensor 2: 7.02
56, Sensor 1: 7.29
57, Sensor 2: 7.16
58, Sensor 1: 7.16
59, Sensor 2: 7.29
60, Sensor 1: 7.29
61, Sensor 2: 7.16
62, Sensor 1: 7.43
63, Sensor 2: 7.16
64, Sensor 1: 7.29
65, Sensor 2: 7.29
66, Sensor 1: 7.29
67, Sensor 2: 7.16
68, Sensor 1: 7.43
69, Sensor 2: 7.29
70, Sensor 1: 7.43
71, Sensor 2: 7.29
72, Sensor 1: 7.43
73, Sensor 2: 7.43
74, Sensor 1: 7.43
75, Sensor 2: 7.29
76, Sensor 1: 7.43
77, Sensor 2: 7.29
78, Sensor 1: 7.29
79, Sensor 2: 7.29
80, Sensor 1: 7.29
81, Sensor 2: 7.16
82, Sensor 1: 7.43
83, Sensor 2: 7.29
84, Sensor 1: 7.16
85, Sensor 2: 7.16
86, Sensor 1: 7.29
87, Sensor 2: 7.02
88, Sensor 1: 7.16
89, Sensor 2: 7.16
90, Sensor 1: 7.16
91, Sensor 2: 7.02
92, Sensor 1: 7.29
93, Sensor 2: 7.16
94, Sensor 1: 7.16
95, Sensor 2: 7.16
96, Sensor 1: 7.29
97, Sensor 2: 7.16
98, Sensor 1: 7.29
99, Sensor 2: 7.16
100, Sensor 1: 7.43
101, Sensor 2: 7.29
102, Sensor 1: 7.43
103, Sensor 2: 7.29
104, Sensor 1: 7.29
105, Sensor 2: 7.29
106, Sensor 1: 7.43
107, Sensor 2: 7.29
108, Sensor 1: 7.29
109, Sensor 2: 7.29
110, Sensor 1: 7.29
111, Sensor 2: 7.16
112, Sensor 1: 7.29
113, Sensor 2: 7.16
114, Sensor 1: 7.43
115, Sensor 2: 7.29
116, Sensor 1: 7.29
117, Sensor 2: 7.29
118, Sensor 1: 7.29
119, Sensor 2: 7.16
120, Sensor 1: 7.43
121, Sensor 2: 7.43
122, Sensor 1: 7.43
123, Sensor 2: 7.29
124, Sensor 1: 7.43
125, Sensor 2: 7.29
126, Sensor 1: 7.29
127, Sensor 2: 7.29
128, Sensor 1: 7.29
129, Sensor 2: 7.16
130, Sensor 1: 7.29
131, Sensor 2: 7.16
132, Sensor 1: 7.16
133, Sensor 2: 7.16
134, Sensor 1: 7.16
135, Sensor 2: 7.02
136, Sensor 1: 7.16
137, Sensor 2: 7.16
138, Sensor 1: 7.16
139, Sensor 2: 7.02
140, Sensor 1: 7.02
141, Sensor 2: 7.02
142, Sensor 1: 7.16
143, Sensor 2: 7.02
144, Sensor 1: 7.16
145, Sensor 2: 6.89
146, Sensor 1: 7.02
147, Sensor 2: 7.02
148, Sensor 1: 6.89
149, Sensor 2: 6.89
150, Sensor 1: 7.02
151, Sensor 2: 6.89
152, Sensor 1: 6.89
153, Sensor 2: 6.75
154, Sensor 1: 6.89
155, Sensor 2: 6.75
156, Sensor 1: 6.89
157, Sensor 2: 6.89
158, Sensor 1: 6.89
159, Sensor 2: 6.61
160, Sensor 1: 6.89
161, Sensor 2: 6.75
162, Sensor 1: 6.89
163, Sensor 2: 6.89
164, Sensor 1: 6.89
165, Sensor 2: 6.75
166, Sensor 1: 7.02
167, Sensor 2: 6.89
168, Sensor 1: 6.89
169, Sensor 2: 6.89
170, Sensor 1: 7.16
171, Sensor 2: 7.02
172, Sensor 1: 7.02
173, Sensor 2: 6.89
174, Sensor 1: 7.02
175, Sensor 2: 7.02
176, Sensor 1: 7.16
177, Sensor 2: 6.89
178, Sensor 1: 7.02
179, Sensor 2: 7.02
180, Sensor 1: 7.16
181, Sensor 2: 7.02
182, Sensor 1: 7.16
183, Sensor 2: 7.02
184, Sensor 1: 7.16
185, Sensor 2: 7.02
186, Sensor 1: 7.16
187, Sensor 2: 7.02
188, Sensor 1: 7.02
189, Sensor 2: 7.02
190, Sensor 1: 7.16
191, Sensor 2: 7.02
192, Sensor 1: 7.16
193, Sensor 2: 7.02
194, Sensor 1: 7.29
195, Sensor 2: 7.16
196, Sensor 1: 7.16
197, Sensor 2: 7.16
198, Sensor 1: 7.16
199, Sensor 2: 7.16
200, Sensor 1: 7.29
201, Sensor 2: 7.16
202, Sensor 1: 7.29
203, Sensor 2: 7.16
204, Sensor 1: 7.29
205, Sensor 2: 7.16
206, Sensor 1: 7.16
207, Sensor 2: 7.16
208, Sensor 1: 7.16
209, Sensor 2: 7.16
210, Sensor 1: 7.16
211, Sensor 2: 7.02
212, Sensor 1: 7.16
213, Sensor 2: 7.02
214, Sensor 1: 7.16
215, Sensor 2: 7.02
216, Sensor 1: 7.29
217, Sensor 2: 7.16
218, Sensor 1: 7.16
219, Sensor 2: 7.02
220, Sensor 1: 7.16
221, Sensor 2: 7.02
222, Sensor 1: 7.16
223, Sensor 2: 7.16
224, Sensor 1: 7.16
225, Sensor 2: 6.89
226, Sensor 1: 7.02
227, Sensor 2: 7.02
228, Sensor 1: 7.16
229, Sensor 2: 7.02
230, Sensor 1: 7.02
231, Sensor 2: 7.02
232, Sensor 1: 7.02
233, Sensor 2: 6.89
234, Sensor 1: 7.16
235, Sensor 2: 6.89
236, Sensor 1: 7.02
237, Sensor 2: 6.89
238, Sensor 1: 7.02
239, Sensor 2: 7.02
240, Sensor 1: 7.02
241, Sensor 2: 6.89
242, Sensor 1: 7.02
243, Sensor 2: 6.89
244, Sensor 1: 7.02
245, Sensor 2: 6.89
246, Sensor 1: 7.02
247, Sensor 2: 6.89
248, Sensor 1: 7.02
249, Sensor 2: 6.89
250, Sensor 1: 7.02
251, Sensor 2: 6.75
252, Sensor 1: 7.02
253, Sensor 2: 6.89
254, Sensor 1: 7.02
255, Sensor 2: 6.89
256, Sensor 1: 7.02
257, Sensor 2: 6.89
258, Sensor 1: 7.02
259, Sensor 2: 6.75
260, Sensor 1: 6.89
261, Sensor 2: 6.89
262, Sensor 1: 7.02
263, Sensor 2: 6.89
264, Sensor 1: 7.02
265, Sensor 2: 6.89
266, Sensor 1: 7.02
267, Sensor 2: 6.75
268, Sensor 1: 7.02
269, Sensor 2: 6.89
270, Sensor 1: 7.02
271, Sensor 2: 6.89
272, Sensor 1: 7.02
273, Sensor 2: 6.89
274, Sensor 1: 7.02
275, Sensor 2: 7.02
276, Sensor 1: 7.16
277, Sensor 2: 6.89
278, Sensor 1: 7.02
279, Sensor 2: 7.02
280, Sensor 1: 7.16
281, Sensor 2: 6.89
282, Sensor 1: 7.16
283, Sensor 2: 7.02
284, Sensor 1: 7.16
285, Sensor 2: 7.02
286, Sensor 1: 7.16
287, Sensor 2: 7.02
288, Sensor 1: 7.16
289, Sensor 2: 7.02
290, Sensor 1: 7.16
291, Sensor 2: 7.16
292, Sensor 1: 7.29
293, Sensor 2: 7.02
294, Sensor 1: 7.16
295, Sensor 2: 7.16
296, Sensor 1: 7.29
297, Sensor 2: 7.02
298, Sensor 1: 7.16
299, Sensor 2: 7.02
300, Sensor 1: 7.16
301, Sensor 2: 7.02
302, Sensor 1: 7.16
303, Sensor 2: 7.02
304, Sensor 1: 7.16
305, Sensor 2: 7.02
306, Sensor 1: 7.29
307, Sensor 2: 7.02
308, Sensor 1: 7.16
309, Sensor 2: 7.02
310, Sensor 1: 7.16
311, Sensor 2: 7.02
312, Sensor 1: 7.16
313, Sensor 2: 7.02
314, Sensor 1: 7.16
315, Sensor 2: 7.02
316, Sensor 1: 7.16
317, Sensor 2: 7.02
318, Sensor 1: 7.29
319, Sensor 2: 7.16
320, Sensor 1: 7.16
321, Sensor 2: 7.02
322, Sensor 1: 7.16
323, Sensor 2: 7.02
324, Sensor 1: 7.16
325, Sensor 2: 7.02
326, Sensor 1: 7.16
327, Sensor 2: 7.02
328, Sensor 1: 7.16
329, Sensor 2: 7.02
330, Sensor 1: 7.16
331, Sensor 2: 7.02
332, Sensor 1: 7.16
333, Sensor 2: 6.89
334, Sensor 1: 7.16
335, Sensor 2: 7.02
336, Sensor 1: 7.02
337, Sensor 2: 7.02
338, Sensor 1: 7.16
339, Sensor 2: 6.89
340, Sensor 1: 7.16
341, Sensor 2: 7.02
342, Sensor 1: 7.02
343, Sensor 2: 6.89
344, Sensor 1: 7.02
345, Sensor 2: 6.89
346, Sensor 1: 6.89
347, Sensor 2: 6.89
348, Sensor 1: 7.02
349, Sensor 2: 6.75
350, Sensor 1: 7.02
351, Sensor 2: 6.89
352, Sensor 1: 7.02
353, Sensor 2: 6.89
354, Sensor 1: 7.02
355, Sensor 2: 6.89
356, Sensor 1: 7.02
357, Sensor 2: 6.89
358, Sensor 1: 7.16
359, Sensor 2: 6.89
360, Sensor 1: 7.02
361, Sensor 2: 6.89
362, Sensor 1: 7.02
363, Sensor 2: 7.02
364, Sensor 1: 7.16
365, Sensor 2: 6.89
366, Sensor 1: 7.02
367, Sensor 2: 6.89
368, Sensor 1: 7.02
369, Sensor 2: 7.02
370, Sensor 1: 7.02
371, Sensor 2: 6.89
372, Sensor 1: 7.02
373, Sensor 2: 6.89
374, Sensor 1: 7.16
375, Sensor 2: 7.02
376, Sensor 1: 7.16
377, Sensor 2: 6.89
378, Sensor 1: 7.16
379, Sensor 2: 7.02
380, Sensor 1: 7.16
381, Sensor 2: 7.02
382, Sensor 1: 7.02
383, Sensor 2: 6.89
384, Sensor 1: 7.02
385, Sensor 2: 7.02
386, Sensor 1: 7.16
387, Sensor 2: 6.89
388, Sensor 1: 7.16
389, Sensor 2: 7.02
390, Sensor 1: 7.16
391, Sensor 2: 7.02
392, Sensor 1: 7.16
393, Sensor 2: 7.02
394, Sensor 1: 7.16
395, Sensor 2: 7.02
396, Sensor 1: 7.16
397, Sensor 2: 7.16
398, Sensor 1: 7.16
399, Sensor 2: 7.02
400, Sensor 1: 7.16
401, Sensor 2: 6.89
402, Sensor 1: 7.16
403, Sensor 2: 7.02
404, Sensor 1: 7.16
405, Sensor 2: 6.89
406, Sensor 1: 7.02
407, Sensor 2: 6.89
408, Sensor 1: 7.02
409, Sensor 2: 6.89
410, Sensor 1: 7.02
411, Sensor 2: 6.75
412, Sensor 1: 7.02
413, Sensor 2: 6.89
414, Sensor 1: 7.02
415, Sensor 2: 6.75
416, Sensor 1: 6.89
417, Sensor 2: 6.89
418, Sensor 1: 7.02
419, Sensor 2: 6.89
420, Sensor 1: 7.16
421, Sensor 2: 6.89
422, Sensor 1: 7.16
423, Sensor 2: 6.89
424, Sensor 1: 7.02
425, Sensor 2: 7.02
426, Sensor 1: 7.16
427, Sensor 2: 6.89
428, Sensor 1: 7.16
429, Sensor 2: 6.89
430, Sensor 1: 7.16
431, Sensor 2: 7.02
432, Sensor 1: 7.16
433, Sensor 2: 7.02
434, Sensor 1: 7.16
435, Sensor 2: 6.89
436, Sensor 1: 7.02
437, Sensor 2: 6.89
438, Sensor 1: 7.16
439, Sensor 2: 7.02
440, Sensor 1: 7.16
441, Sensor 2: 6.89
442, Sensor 1: 7.02
443, Sensor 2: 6.89
444, Sensor 1: 7.02
445, Sensor 2: 6.75
446, Sensor 1: 7.02
447, Sensor 2: 6.89
448, Sensor 1: 7.02
449, Sensor 2: 6.75
450, Sensor 1: 6.89
451, Sensor 2: 6.89
452, Sensor 1: 7.02
453, Sensor 2: 6.75
454, Sensor 1: 7.02
455, Sensor 2: 6.89
456, Sensor 1: 6.89
