Quantidade,Sensor,mL
0,Sensor 1,1.08
1,Sensor 2,0.13
2,Sensor 1,2.97
3,Sensor 2,1.49
4,Sensor 1,2.30
5,Sensor 2,2.30
6,Sensor 1,2.43
7,Sensor 2,1.75
8,Sensor 1,2.57
9,Sensor 2,2.16
10,Sensor 1,2.16
11,Sensor 2,2.03
12,Sensor 1,2.57
13,Sensor 2,1.89
14,Sensor 1,2.43
15,Sensor 2,2.30
16,Sensor 1,2.03
17,Sensor 2,1.08
18,Sensor 1,2.70
19,Sensor 2,2.03
20,Sensor 1,5.26
21,Sensor 2,2.43
22,Sensor 1,7.70
23,Sensor 2,4.32
24,Sensor 1,7.56
25,Sensor 2,4.46
26,Sensor 1,7.56
27,Sensor 2,4.32
28,Sensor 1,7.56
29,Sensor 2,4.32
30,Sensor 1,7.56
31,Sensor 2,4.32
32,Sensor 1,7.56
33,Sensor 2,4.32
34,Sensor 1,7.56
35,Sensor 2,4.32
36,Sensor 1,7.56
37,Sensor 2,4.32
38,Sensor 1,7.70
39,Sensor 2,4.32
40,Sensor 1,7.56
41,Sensor 2,4.32
42,Sensor 1,7.70
43,Sensor 2,4.19
44,Sensor 1,7.56
45,Sensor 2,4.32
46,Sensor 1,7.70
47,Sensor 2,4.32
48,Sensor 1,7.70
49,Sensor 2,4.19
50,Sensor 1,7.56
51,Sensor 2,4.32
52,Sensor 1,7.56
53,Sensor 2,4.19
54,Sensor 1,7.70
55,Sensor 2,4.19
56,Sensor 1,7.56
57,Sensor 2,4.32
58,Sensor 1,7.56
59,Sensor 2,4.19
60,Sensor 1,7.56
61,Sensor 2,4.19
62,Sensor 1,7.70
63,Sensor 2,4.32
64,Sensor 1,7.83
65,Sensor 2,4.59
66,Sensor 1,7.70
67,Sensor 2,4.46
68,Sensor 1,7.97
69,Sensor 2,4.59
70,Sensor 1,7.83
71,Sensor 2,4.59
72,Sensor 1,7.97
73,Sensor 2,4.59
74,Sensor 1,7.97
75,Sensor 2,4.59
76,Sensor 1,7.97
77,Sensor 2,4.59
78,Sensor 1,7.97
79,Sensor 2,4.59
80,Sensor 1,7.83
81,Sensor 2,4.73
82,Sensor 1,7.97
83,Sensor 2,4.59
84,Sensor 1,7.97
85,Sensor 2,4.59
86,Sensor 1,7.97
87,Sensor 2,4.59
88,Sensor 1,7.97
89,Sensor 2,4.73
90,Sensor 1,7.97
91,Sensor 2,4.59
92,Sensor 1,8.10
